ID,LINK
448223,https://www.boat24.com/en/powerboats/hatteras/hatteras-45/detail/448223/
522741,https://www.boat24.com/en/sailingboats/reichelpugh/reichelpugh-x-treme-37/detail/522741/
244728,https://www.boat24.com/en/catalog/sailingboats/wauquiez/ps-58/2023/244728/
518389,https://www.boat24.com/en/powerboats/elvira-snipa-traebat-nyhet/detail/518389/
543441,https://www.boat24.com/en/powerboats/sunseeker/sunseeker-manhattan-55/detail/543441/
491588,https://www.boat24.com/en/powerboats/solare/solare-40-classic/detail/491588/
357957,https://www.boat24.com/en/sailingboats/sangermani/sangermani--carlo-sciarelli--rorolima/detail/357957/
532201,https://www.boat24.com/en/powerboats/beneteau/beneteau-swift-trawler-35-delivery-in-april-202/detail/532201/
534248,https://www.boat24.com/en/powerboats/atlantis/atlantis-47-open/detail/534248/
516971,https://www.boat24.com/en/inflatableboats/yamaha/yamaha-yam310taf/detail/516971/
542102,https://www.boat24.com/en/engines/yamaha/yamaha-f8-fmhl/detail/542102/
515447,https://www.boat24.com/en/powerboats/marine-time/marine-time-qx-650-cruiser/detail/515447/
529354,https://www.boat24.com/en/sailingboats/hunter/hunter-38/detail/529354/
520462,https://www.boat24.com/en/engines/mercury/mercury-f-20-mh-mlh-efi/detail/520462/
533212,https://www.boat24.com/en/powerboats/marex/marex-375/detail/533212/
500334,https://www.boat24.com/en/sailingboats/arcona/arcona-430/detail/500334/
538103,https://www.boat24.com/en/sailingboats/moody/moody-mkii/detail/538103/
461998,https://www.boat24.com/en/powerboats/viper/viper-v-233/detail/461998/
543190,https://www.boat24.com/en/powerboats/mochi-craft/mochi-craft-mochi-40-europa/detail/543190/
244690,https://www.boat24.com/en/catalog/powerboats/pikmeerkruiser/50-fb-premier/2023/244690/
299430,https://www.boat24.com/en/powerboats/princess/princess-37/detail/299430/
491502,https://www.boat24.com/en/sailingboats/bali-catamarans/bali-catamarans-catspace/detail/491502/
462767,https://www.boat24.com/en/powerboats/grandezza/grandezza-34-oc/detail/462767/
324675,https://www.boat24.com/en/inflatableboats/zarmini/zarmini-rib-pro-14-dl/detail/324675/
