,ID,LOCATION,CONDITION,MODEL,MANUFACTURER,YEAR BUILT,CATEGORY,SUBCATEGORY,MATERIAL,LENGTH (m),BEAM (m),DRAUGHT,NUM_ENGINES,ENGINE_HP,ENGINE_KW,PRICE_EUR,LINK
16,288891,Germany,NEW BOAT,Allroundmarin ALL-TOP-/316,Allroundmarin,2022,smallboats,Canoe,Rubber,3.16,0.86,,1,,,999,https://www.boat24.com/en/smallboats/allroundmarin/allroundmarin-all-top-316/detail/288891/
18,301259,Switzerland,USED BOAT,Fairline Mirage 29,Fairline,1979,powerboats,Cabin Cruiser,GRP,9.2,3.09,0.6,1,208.0,153.0,22950.0,https://www.boat24.com/en/powerboats/fairline/fairline-mirage-29/detail/301259/
19,527623,Germany,USED BOAT,Parker 760 quest,Parker,2020,powerboats,Cabin Cruiser,GRP,7.99,2.54,0.9,1,300.0,221.0,76500,https://www.boat24.com/en/powerboats/parker/parker-760-quest/detail/527623/
20,533199,Italy,USED BOAT,Tecnomar NADARA 26 FLY,Tecnomar,2005,powerboats,Flybridge,,23.9,6.5,1.8,2,2000.0,1471.0,65000,https://www.boat24.com/en/powerboats/tecnomar/tecnomar-nadara-26-fly/detail/533199/
21,519778,Italy,USED BOAT,Four Winns Vista 288,Four,2005,powerboats,Sport Boat,GRP,9.15,2.95,0.8,2,160.0,118.0,65000,https://www.boat24.com/en/powerboats/four-winns/four-winns-vista-288/detail/519778/
22,518802,Germany,USED BOAT,Bultjer Botterjacht,Bultjer,1979,sailingboats,Sailing Yacht,Wood,15.5,4.55,1.25,1,105.0,77.0,99000,https://www.boat24.com/en/sailingboats/bultjer-botterjacht/detail/518802/
24,246353,,NEW BOAT,Sport Boat 260 SLX,Sea Ray,2023,powerboats,Sport Boat,,7.75,2.59,1.04,1,350.0,261.0,75500,https://www.boat24.com/en/catalog/powerboats/sea-ray/sport-boat-260-slx/2023/246353/
25,534414,Croatia,NEW BOAT,Zodiac Medline 9,Zodiac,2023,inflatableboats,RIB,Hypalon,8.9,3.06,,1,,,75500,https://www.boat24.com/en/inflatableboats/zodiac/zodiac-medline-9/detail/534414/
26,426125,Croatia,USED BOAT,Hysucat 28,Hysucat,2019,inflatableboats,RIB,GRP,8.5,2.9,0.42,1,20.0,15.0,65000,https://www.boat24.com/en/inflatableboats/hysucat/hysucat-28/detail/426125/
27,527737,Denmark,USED BOAT,X-Yachts 562,X-Yachts,2001,sailingboats,Sailing Yacht,,16.98,4.85,2.82,1,100.0,74.0,245050.0,https://www.boat24.com/en/sailingboats/x-yachts/x-yachts-562/detail/527737/
29,8996,,NEW BOAT,RS500,RS Sailing,2023,sailingboats,Sailing Dinghy,,4.34,1.58,,1,,,12984,https://www.boat24.com/en/catalog/sailingboats/rs-sailing/rs500/2023/8996/
30,501894,Netherlands,NEW BOAT,Beach 280,Beach,2023,smallboats,Dinghy,Carbon Fiber,2.8,1.5,,1,,,12984,https://www.boat24.com/en/smallboats/beach-280/detail/501894/
32,534964,Denmark,USED BOAT,Storo 34,Storo,1973,powerboats,Motor Yacht,,10.35,3.2,,2,128.0,94.0,18070.0,https://www.boat24.com/en/powerboats/storoe-34/detail/534964/
33,528543,Switzerland,NEW BOAT,Beneteau Antares 6 OB,Beneteau,2023,powerboats,Pilothouse,GRP,5.62,2.43,,1,,,47624,https://www.boat24.com/en/powerboats/beneteau/beneteau-antares-6-ob/detail/528543/
34,537747,Italy,USED BOAT,Sea Ray 315 DA,Sea,2006,powerboats,Cabin Cruiser,GRP,9.47,2.89,,2,225.0,165.0,69900,https://www.boat24.com/en/powerboats/sea-ray/sea-ray-315-da/detail/537747/
