,ID,LOCATION,CONDITION,MODEL,MANUFACTURER,YEAR BUILT,CATEGORY,SUBCATEGORY,MATERIAL,LENGTH (m),BEAM (m),DRAUGHT,NUM_ENGINES,ENGINE_HP,ENGINE_KW,PRICE_EUR,LINK
139,519933,Germany,NEW BOAT,Integrity 510 SX,Integrity,2023,powerboats,Hardtop,GRP,16.0,4.6,1.4,1,480.0,353.0,699000.0,https://www.boat24.com/en/powerboats/integrity/integrity-510-sx/detail/519933/
140,541163,Germany,USED BOAT,Northshore Fisher Fisher 30,Northshore,1974,sailingboats,Motorsailer,GRP,9.1,2.9,1.3,1,67.0,49.0,49500.0,https://www.boat24.com/en/sailingboats/northshore-fisher-fisher-30/detail/541163/
144,539881,Netherlands,USED BOAT,Beneteau Oceanis,Beneteau,1992,sailingboats,Cruising Yacht,GRP,13.5,4.2,1.8,1,50.0,37.0,82500.0,https://www.boat24.com/en/sailingboats/beneteau/beneteau-oceanis/detail/539881/
146,483879,Germany,NEW BOAT,Quicksilver Activ 525 aXess - 30 Jahre RoJe Boote,Quicksilver,2022,powerboats,Bowrider,GRP,5.35,2.29,0.25,1,100.0,74.0,35900.0,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-activ-525-axess--30-jahre-roje-boote/detail/483879/
147,541825,Netherlands,USED BOAT,Dehler Dehlya 25 hefkiel,Dehler,1992,sailingboats,Sailing Yacht,GRP,7.6,2.5,1.4,1,60.0,44.0,14000.0,https://www.boat24.com/en/sailingboats/dehler/dehler-dehlya-25-hefkiel/detail/541825/
154,525268,Portugal,USED BOAT,Jeanneau Sun Light 30,Jeanneau,1988,sailingboats,Cruising Yacht,GRP,8.1,3.2,1.78,1,16.0,12.0,30000.0,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-light-30/detail/525268/
155,494619,Hungary,NEW BOAT,Beneteau Flyer 7 Sundeck,Beneteau,2022,powerboats,Sport Boat,GRP,7.2,2.45,0.8,1,175.0,129.0,47887.0,https://www.boat24.com/en/powerboats/beneteau/beneteau-flyer-7-sundeck/detail/494619/
165,544896,Croatia,USED BOAT,Lagoon 40,Lagoon,2019,sailingboats,Catamaran,GRP,11.57,6.76,1.3,2,45.0,33.0,380000.0,https://www.boat24.com/en/sailingboats/lagoon/lagoon-40/detail/544896/
167,540906,Germany,USED BOAT,Nautors Swan 41 an der Schlei,Nautors,1975,sailingboats,Sailing Yacht,GRP,12.5,3.64,2.1,1,60.0,44.0,550000.0,https://www.boat24.com/en/sailingboats/nautors-swan/nautors-swan-41-an-der-schlei/detail/540906/
168,490590,Germany,USED BOAT,Ferretti 670,Ferretti,2018,powerboats,Motor Yacht,GRP,20.42,5.38,1.8,2,1200.0,883.0,2742670.0,https://www.boat24.com/en/powerboats/ferretti/ferretti-670/detail/490590/
169,543795,Italy,USED BOAT,Spertini ALALUNGA 72,Spertini,2001,powerboats,Superyacht,GRP,22.0,5.6,1.85,2,1300.0,956.0,550000.0,https://www.boat24.com/en/powerboats/spertini/spertini-alalunga-72/detail/543795/
170,464410,France,USED BOAT,Fairline 38 Targa,Fairline,2007,powerboats,Cabin Cruiser,GRP,11.66,3.64,1.02,2,310.0,228.0,170000.0,https://www.boat24.com/en/powerboats/fairline/fairline-38-targa/detail/464410/
171,534937,Italy,USED BOAT,Azimut AZ 46,Azimut,2001,powerboats,Motor Yacht,GRP,14.6,4.36,1.02,2,450.0,331.0,215000.0,https://www.boat24.com/en/powerboats/azimut/azimut-az-46/detail/534937/
173,535097,Spain,USED BOAT,Azimut Atlantis 34,Azimut,2018,powerboats,Motor Yacht,GRP,10.25,3.5,0.94,2,220.0,162.0,265000.0,https://www.boat24.com/en/powerboats/azimut/azimut-atlantis-34/detail/535097/
176,533215,Italy,USED BOAT,Lagoon 450 F,Lagoon,2019,sailingboats,Catamaran,GRP,13.96,7.84,1.3,2,54.0,40.0,550000.0,https://www.boat24.com/en/sailingboats/lagoon/lagoon-450-f/detail/533215/
178,491688,Germany,NEW BOAT,Maril 7NXT,Maril,2023,powerboats,Sport Boat,GRP,7.5,2.85,0.8,1,52.0,38.0,87298.0,https://www.boat24.com/en/powerboats/maril/maril-7nxt/detail/491688/
179,478914,Germany,USED BOAT,Fjord 38 xpress,Fjord,2019,powerboats,Motor Yacht,Wood,11.63,3.64,0.94,2,350.0,257.0,295000.0,https://www.boat24.com/en/powerboats/fjord/fjord-38-xpress/detail/478914/
181,538731,France,USED BOAT,Dehler 41 CR,Dehler,2005,sailingboats,Cruising Yacht,GRP,12.5,3.9,1.95,1,55.0,40.0,159000.0,https://www.boat24.com/en/sailingboats/dehler/dehler-41-cr/detail/538731/
183,526942,Germany,USED BOAT,Maxum SE2900,Maxum,2009,powerboats,Motor Yacht,GRP,9.13,3.0,0.8,2,220.0,162.0,59000.0,https://www.boat24.com/en/powerboats/maxum/maxum-se2900/detail/526942/
187,535798,Denmark,USED BOAT,Maxi Fenix Maxi Fenix - Nedsat,Maxi,1982,sailingboats,Keelboat,GRP,8.5,2.85,1.5,1,70.0,51.0,9100.0,https://www.boat24.com/en/sailingboats/maxi-fenix-maxi-fenix--nedsat/detail/535798/
190,543346,Germany,USED BOAT,Theri Nordic 6020,Theri,1990,smallboats,Dinghy,GRP,4.6,1.9,0.4,1,25.0,18.0,7990.0,https://www.boat24.com/en/smallboats/theri-nordic-6020/detail/543346/
191,507338,Switzerland,NEW BOAT,nan,nan,2022,powerboats,Sport Boat,GRP,7.85,2.65,0.4,1,280.0,206.0,111180.0,https://www.boat24.com/en/powerboats/nx-boats/nx-boats-260/detail/507338/
193,526394,Germany,USED BOAT,Storebro Adler IV de Luxe,Storebro,1972,powerboats,Classic Power Boat,Wood,10.35,3.2,0.95,2,200.0,147.0,13490.0,https://www.boat24.com/en/powerboats/storebro/storebro-adler-iv-de-luxe/detail/526394/
194,535699,Italy,USED BOAT,CANADOS 86,CANADOS,2010,powerboats,Motor Yacht,GRP,26.48,6.45,2.0,2,1920.0,1412.0,2190000.0,https://www.boat24.com/en/powerboats/canados/canados-86/detail/535699/
195,539884,Netherlands,USED BOAT,XO Boats Dfndr 8,XO,2021,powerboats,Sport Boat,Aluminium,7.76,2.3,0.6,1,350.0,257.0,79500.0,https://www.boat24.com/en/powerboats/xo-boats/xo-boats-dfndr-8/detail/539884/
198,519467,Germany,NEW BOAT,Quicksilver Activ 755 Sundeck,Quicksilver,2023,powerboats,Cabin Cruiser,GRP,7.62,2.55,0.55,1,150.0,110.0,102791.0,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-activ-755-sundeck/detail/519467/
202,531174,Germany,NEW BOAT,Brabus Shadow 900 XC Edition,Brabus,2022,powerboats,Motor Yacht,GRP,11.73,3.35,0.85,2,450.0,331.0,765000.0,https://www.boat24.com/en/powerboats/brabus/brabus-shadow-900-xc-edition/detail/531174/
206,478983,Switzerland,USED BOAT,Ron Holland 11m One Design,Ron,1993,sailingboats,Daysailer,GRP,10.25,2.5,1.8,1,50.0,37.0,13260.0,https://www.boat24.com/en/sailingboats/ron-holland/ron-holland-11m-one-design/detail/478983/
215,539155,Italy,USED BOAT,Cranchi Smeraldo 37,Cranchi,2005,powerboats,Motor Yacht,GRP,12.2,3.84,1.15,2,285.0,210.0,130000.0,https://www.boat24.com/en/powerboats/cranchi/cranchi-smeraldo-37/detail/539155/
